date,sentiment,daily_pnl
2024-04-26,Greed,0
2024-04-27,Greed,4281.488065242767
2024-04-28,Greed,0
2024-04-28,Greed,0
2024-04-29,Greed,526.9338384866714
2024-04-29,Greed,0
2024-04-30,Greed,0
2024-05-04,Greed,0
2024-05-04,Greed,0
2024-05-05,Greed,0
2024-05-05,Greed,0.9160000085830688
2024-05-06,Greed,968.5903940200806
2024-05-07,Greed,656.2170391082764
2024-05-07,Greed,0
2024-05-07,Greed,227.32064819335938
2024-05-08,Greed,0
2024-05-08,Greed,1.5657598972320557
2024-05-09,Greed,1147.5958444476128
2024-05-09,Greed,0
2024-05-10,Greed,2101.741683959961
2024-05-12,Greed,0
2024-05-12,Greed,0
2024-05-13,Greed,2136.853846549988
2024-05-13,Greed,0
2024-05-14,Greed,1150.5233116149902
2024-05-15,Greed,948.9705748558044
2024-05-16,Greed,214.58979845046997
2024-05-16,Greed,0
2024-05-18,Greed,3522.394647810608
2024-05-19,Greed,0
2024-05-20,Greed,0
2024-05-20,Greed,-74.8184404373169
2024-05-24,Greed,821.9492797851562
2024-05-27,Greed,1129.3558690361679
2024-05-29,Greed,0
2024-05-29,Greed,277.79195097391494
2024-05-30,Greed,20.95143300294876
2024-05-31,Greed,25.35811984539032
2024-06-01,Greed,91.51041896641254
2024-06-02,Greed,192.90694695711136
2024-06-03,Greed,562.8082000017166
2024-06-04,Greed,52.21143753826618
2024-06-08,Greed,0
2024-06-08,Greed,129.1388407945633
2024-06-10,Greed,0
2024-06-10,Greed,31.266805010847747
2024-06-11,Greed,0
2024-06-11,Greed,51.081141978502274
2024-06-11,Greed,4269.550733089447
2024-06-12,Greed,-21886.531361795962
2024-06-12,Greed,0
2024-06-13,Greed,-1.4030400514602661
2024-06-13,Greed,6634.160149812698
2024-06-14,Greed,0
2024-06-14,Greed,10258.59254360199
2024-06-15,Greed,2084.433900117874
2024-06-15,Greed,1285.5244598388672
2024-06-16,Greed,0
2024-06-17,Greed,1268.7590446472168
2024-06-17,Greed,9330.743281841278
2024-06-18,Greed,0
2024-06-18,Greed,282.576358795166
2024-06-19,Greed,0
2024-06-19,Greed,2053.973673313856
2024-06-19,Greed,2833.6832659244537
2024-06-20,Greed,57478.45568847656
2024-06-20,Greed,0
2024-06-20,Greed,0
2024-06-21,Greed,773.5582122802734
2024-06-21,Greed,0
2024-06-23,Greed,0
2024-06-25,Fear,4869.353136062622
2024-06-27,Fear,0
2024-06-27,Fear,0
2024-06-29,Fear,1842.7383522987366
2024-06-29,Fear,4307.587802886963
2024-07-04,Fear,0
2024-07-04,Fear,0
2024-07-05,Fear,0
2024-07-05,Fear,0
2024-07-06,Fear,108.87217712402344
2024-07-07,Fear,61.42894220352173
2024-07-08,Fear,0
2024-07-09,Fear,648.9844086170197
2024-07-10,Fear,11595.627122879028
2024-07-10,Fear,382.1078770160675
2024-07-11,Fear,1876.8120651245117
2024-07-12,Fear,0
2024-07-12,Fear,1412.3146781921387
2024-07-13,Fear,2678.839370727539
2024-07-13,Fear,234.77846240997314
2024-07-14,Fear,0
2024-07-16,Greed,0
